selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
03-1-102221, -589949.82792983, -1309517.98763851, -977589.17781283, 5.09, 4.98, 0.04
03-1-102797, -1026755.14222988, -976706.94428751, -1005174.70266867, 8.04, 6.51, 2.75
03-1-102875, -1107813.42247300, -907057.70621595, -984151.66442115, 6.82, 6.31, 2.61
03-1-102925, -1127923.72605321, -865986.85315229, -998205.18851267, 11.02, 10.44, 1.30
03-1-102969, -1158829.01628265, -833500.76796590, -990429.47291649, 4.99, 4.79, 0.69
03-1-102981, -1144903.93814080, -826581.60182289, -1012184.06821960, 5.63, 5.21, 2.82
03-1-103005, -1168026.57392380, -828478.86228205, -983816.78038122, 4.52, 4.20, 2.76
03-1-103009, -1167155.50984218, -823246.12272475, -989228.28369578, 8.61, 7.81, 2.67
03-1-103095, -1200877.65229479, -770387.51584378, -991440.71918144, 6.20, 5.73, 0.75
03-1-103223, -1278026.46847796, -613617.22339841, -1004331.12518660, 8.20, 7.96, 2.52
03-1-103319, -1318263.95277019, -550225.62378026, -988934.10991953, 4.16, 4.01, 0.86
03-1-103424, -1300406.22553902, -536041.87329986, -1019883.09067683, 5.46, 5.08, 0.79
03-1-103646, -1375935.75585934, -377110.43828448, -991537.83240210, 8.46, 7.83, 0.03
03-1-103678, -1385371.52564139, -358642.61094129, -985230.92397634, 5.49, 5.07, 0.70
03-1-103813, -1393266.34638450, -273423.74961665, -1001302.70207264, 5.40, 5.15, 2.75
03-1-103830, -1394827.32892654, -239073.69846352, -1007898.43197747, 10.20, 8.75, 2.62
03-1-103916, -1418711.51690143, -185970.88230149, -985510.64060579, 4.62, 4.34, 0.61
03-1-103970, -1424287.88791823, -151759.91677693, -983326.85308054, 7.28, 4.98, 1.91
03-1-104197, -1414894.49230883, -54206.37818042, -1006823.72051849, 7.72, 7.39, 2.32
03-1-104399, -1394108.78963544, -148814.98447718, -1026096.26402998, 6.66, 6.06, 0.26
03-1-104521, -1385176.00576615, -227675.37439980, -1023723.65262392, 4.56, 3.73, 2.60
03-1-104575, -1372222.45126570, -230443.83945540, -1040413.35107706, 6.04, 4.91, 0.10
03-1-104646, -1376885.43427429, -285941.33596772, -1020285.65277980, 10.42, 9.94, 0.00
03-1-105121, -1321238.45208473, -457416.53708645, -1031337.88078040, 4.79, 3.41, 1.70
03-1-105163, -1294016.41965552, -551864.69713509, -1019571.29310211, 4.44, 4.32, 1.40
03-1-105268, -1266087.33339663, -619729.25579782, -1015636.38853721, 6.62, 6.40, 2.87
03-1-105288, -1257484.81475124, -652068.83495185, -1006030.28540625, 4.20, 3.99, 3.04
03-1-105429, -1178006.65618337, -779409.95768970, -1011622.06176111, 5.57, 5.27, 0.97
03-1-105458, -1168049.00018506, -775844.21968510, -1025809.94338518, 9.12, 7.23, 0.93
03-1-105496, -1153006.51255862, -794159.11886733, -1028808.06563580, 4.88, 4.41, 1.37
03-1-105574, -1110649.04425482, -873178.81202268, -1011225.10982002, 5.09, 4.39, 0.52
03-1-105595, -1099397.70530115, -894954.73670257, -1004459.78756354, 4.65, 4.28, 2.59
03-1-105648, -1071357.82303559, -911377.90516804, -1019873.27104496, 5.56, 4.98, 0.14
03-1-105657, -1069574.11782811, -920303.71045011, -1013711.52060336, 5.97, 4.84, 0.09
03-1-105666, -1045108.01572290, -950941.78164805, -1010948.92224473, 4.19, 4.16, 2.08
03-1-105675, -1036934.29272836, -940894.36548574, -1028612.57311056, 5.16, 4.68, 1.20
03-1-105685, -1021452.33688044, -956694.51408087, -1029528.77094769, 6.31, 6.14, 3.11
03-1-105723, -981282.54213287, -1020166.61296481, -1007424.14816062, 4.85, 4.58, 1.13
03-1-105857, -874291.84907517, -1114625.03010145, -1005874.52741982, 4.85, 4.69, 2.09
03-1-105934, -788249.93117170, -1158612.68166557, -1027052.80287409, 11.37, 8.33, 2.17
03-1-105991, -721761.35812491, -1203542.89399168, -1024257.68449147, 6.55, 5.98, 1.66
03-1-106099, -652569.24111451, -1249949.64277822, -1015055.68126573, 5.57, 5.43, 2.81
03-1-106221, -509044.09122402, -1316891.32586922, -1012536.47294324, 4.91, 4.57, 0.58
03-1-106264, -468719.17495749, -1336507.30361402, -1006284.91115268, 10.73, 9.82, 0.26
03-1-106280, -458183.55661488, -1322856.47961303, -1028920.46475593, 4.92, 4.63, 1.34
03-1-106346, -407155.93290020, -1342803.79138733, -1024529.54283417, 7.60, 7.29, 0.79
03-1-106758, -73862.47550841, -1388513.31275562, -1041697.59288010, 5.30, 4.20, 2.58
03-1-106814, -96126.24946413, -1375014.28473411, -1057664.51247128, 4.39, 3.97, 0.95
03-1-106905, -195222.23683999, -1362496.22221786, -1060212.75350057, 4.68, 4.42, 1.53
03-1-106965, -305245.20872678, -1348770.99295289, -1051760.87164252, 5.01, 4.91, 0.98
03-1-107059, -405600.07661955, -1316216.35760631, -1059066.49357621, 7.55, 7.13, 2.87
03-1-107243, -596015.57464183, -1250077.94092478, -1049108.82962523, 7.02, 6.80, 2.86
03-1-107361, -679186.23060626, -1193836.80440501, -1063963.58424661, 6.47, 5.51, 1.67
03-1-107459, -760888.84204708, -1159356.49532425, -1046661.09452760, 5.22, 5.14, 2.76
03-1-107725, -983658.44906069, -988615.32413487, -1036153.73206741, 4.40, 4.22, 1.01
03-1-107745, -987922.48304967, -962492.29589017, -1056492.54982562, 6.24, 6.15, 2.17
03-1-107804, -1058734.78909796, -882261.10980161, -1057948.36380861, 8.93, 8.23, 1.76
03-1-107820, -1064070.94273264, -878057.32545575, -1056090.48951573, 4.91, 4.07, 1.42
03-1-107824, -1076241.69667086, -863991.48824092, -1055358.36500890, 5.41, 5.03, 1.96
03-1-107881, -1142805.08644041, -798121.77024115, -1037090.61044494, 10.69, 8.48, 1.87
03-1-107922, -1136637.48230870, -780722.04922982, -1056923.40103592, 4.17, 3.91, 1.54
03-1-107948, -1145630.65269502, -777225.94815739, -1049766.16115992, 6.96, 6.63, 1.83
03-1-108298, -1259334.24770144, -594558.68430696, -1038814.70122512, 5.03, 4.56, 0.63
03-1-108312, -1261066.22840488, -573877.18584337, -1048301.34176447, 5.36, 4.58, 1.54
03-1-108331, -1251949.86979210, -582464.25691236, -1054474.12151607, 5.34, 4.65, 1.18
03-1-108336, -1238606.77129908, -596553.87016091, -1062325.51795018, 6.34, 5.20, 1.23
03-1-108540, -1325949.17014939, -418324.60966472, -1041835.91756523, 8.47, 7.50, 1.39
03-1-108664, -1328809.07429522, -367562.46572947, -1057224.21361675, 4.94, 4.72, 3.06
03-1-108923, -1370977.76937603, -175042.63616240, -1052776.70538536, 6.53, 6.05, 3.02
03-1-108939, -1379277.30238452, -173460.67183864, -1042144.07758820, 4.93, 4.54, 0.66
03-1-109254, -1345882.03488297, -128550.63107914, -1091162.24431953, 6.38, 5.89, 2.29
03-1-109422, -1342216.08053031, -188492.83764408, -1086961.45438683, 4.19, 3.81, 1.03
03-1-109667, -1340326.33838212, -314740.92764982, -1059727.42490760, 11.66, 11.11, 3.13
03-1-109845, -1300873.43668038, -431684.13919823, -1067677.79114491, 10.22, 9.77, 0.30
03-1-109931, -1277386.98447854, -453400.52409566, -1086862.09642006, 9.79, 6.66, 0.24
03-1-109934, -1276418.67425494, -462687.13390115, -1084082.44342190, 9.94, 6.57, 0.34
03-1-110127, -1258381.28152422, -542934.26808296, -1067828.49318169, 7.24, 7.07, 0.95
03-1-110201, -1224463.60566104, -577572.90365176, -1088878.86350083, 6.61, 6.30, 2.57
03-1-110255, -1216806.31197491, -628336.44234968, -1069174.66971181, 4.32, 4.12, 0.41
03-1-110465, -1160906.55635221, -741346.33174351, -1058895.81349106, 6.71, 6.28, 2.48
03-1-110473, -1151942.20786148, -746394.67839805, -1065121.07002269, 4.64, 4.38, 0.32
03-1-110492, -1148448.52399860, -750035.91168383, -1066335.25633829, 4.35, 4.02, 1.49
03-1-110497, -1139103.95189206, -761642.66694869, -1068129.85852244, 5.30, 4.91, 0.48
03-1-110525, -1131732.76456869, -776597.52328852, -1065192.93859087, 6.67, 6.35, 1.76
03-1-110553, -1104238.51079739, -800922.51667830, -1075982.89649494, 7.26, 4.75, 0.17
03-1-110656, -1068058.14490963, -848872.01149547, -1075744.79649768, 7.12, 5.94, 0.21
03-1-110720, -1033493.96508679, -894104.56078293, -1072858.80642158, 4.77, 4.54, 2.03
03-1-110753, -1029872.55949411, -878413.64858725, -1089178.92615341, 8.00, 7.82, 2.88
03-1-110782, -1011778.56425494, -923945.55509551, -1068263.78209385, 6.50, 5.99, 1.23
03-1-110783, -1007049.50742409, -918628.28508704, -1077279.96520632, 7.46, 6.69, 0.10
03-1-111126, -839017.80079341, -1075092.28342469, -1076468.51884878, 4.60, 4.31, 0.08
03-1-111265, -770805.71677622, -1121026.22261145, -1080609.78859281, 4.55, 3.98, 1.48
03-1-111706, -469679.87126193, -1287567.31793288, -1067768.69233111, 9.04, 8.52, 0.86
03-1-111894, -302071.53929897, -1324969.37029311, -1082482.19982160, 4.22, 3.92, 0.58
03-1-111945, -260550.18608795, -1347065.99294677, -1065873.14966457, 7.47, 5.02, 1.52
03-1-112145, -76481.95594853, -1361159.92285167, -1077011.11175175, 4.74, 4.37, 1.82
03-1-112311, -82705.62031626, -1337664.93462901, -1105608.91052491, 5.35, 4.74, 3.06
03-1-112400, -213788.45111409, -1330561.86703986, -1096566.63096670, 4.37, 4.21, 1.31
03-1-112401, -219044.99486769, -1335581.66980422, -1089403.34748264, 6.88, 6.57, 2.96
03-1-112652, -511887.70966963, -1240580.41501551, -1103399.27794481, 9.89, 9.88, 2.46
03-1-112863, -720488.11066293, -1133295.43077389, -1102314.43290034, 5.17, 3.86, 1.76
03-1-113117, -846007.15706979, -1032000.80874423, -1112566.84335726, 8.31, 6.76, 2.07
03-1-113318, -953401.76742495, -948290.37357634, -1100149.62493900, 6.11, 6.01, 3.07
03-1-113588, -1120128.52973165, -737383.13363754, -1104598.09483273, 4.18, 3.91, 1.22
03-1-113589, -1116139.43730078, -743894.10693126, -1104270.38091893, 8.34, 7.13, 1.48
03-1-113591, -1125856.82198544, -733516.89460126, -1101343.78907014, 5.81, 5.34, 0.53
03-1-113612, -1124447.53270682, -727075.88026440, -1107039.82337010, 4.40, 3.99, 1.36
03-1-113858, -1186492.14860922, -621707.67333528, -1106469.48001503, 5.41, 5.00, 0.36
03-1-113881, -1198203.24107019, -611859.08870556, -1099316.24597169, 4.97, 4.71, 0.17
03-1-113917, -1220480.10882842, -572572.08496885, -1095969.10151181, 10.28, 7.76, 2.80
03-1-113935, -1200860.10010300, -580958.08540538, -1113095.45097567, 4.53, 4.09, 0.92
03-1-113978, -1227422.08219162, -545867.57593625, -1101826.83834161, 5.57, 5.10, 0.74
03-1-113982, -1219093.90736383, -549801.75802813, -1109092.79679275, 4.27, 3.93, 1.67
03-1-114529, -1322257.73737205, -290644.63900953, -1088907.21816635, 4.21, 3.96, 2.00
03-1-114617, -1326505.67653887, -210976.05795254, -1102012.04761154, 12.14, 10.77, 1.46
03-1-114745, -1335685.22516667, -144960.32796182, -1101585.33150576, 5.48, 5.03, 1.20
03-1-114933, -1348549.72044882, -3200.98806550, -1095427.84570816, 4.43, 3.58, 1.47
03-1-115016, -1315846.71055878, -137999.21516507, -1126082.77267946, 4.28, 3.73, 2.05
03-1-115023, -1325975.74062711, -140676.10586316, -1113803.09234064, 8.53, 8.32, 0.76
03-1-115204, -1317961.08167465, -151700.79029689, -1121839.65762237, 8.80, 8.46, 1.37
03-1-115265, -1307064.71815676, -179463.94448013, -1130457.10895258, 5.64, 5.14, 0.68
03-1-115594, -1266019.54688629, -395096.98607477, -1122342.03275850, 5.54, 5.14, 1.83
03-1-115615, -1262314.88043984, -401181.70086708, -1124354.54617729, 5.80, 5.47, 1.30
03-1-115656, -1241553.90792970, -427670.96938503, -1137629.19954164, 5.13, 4.43, 0.56
03-1-115809, -1229990.04239660, -493505.49046415, -1123448.07912380, 4.32, 4.19, 1.42
03-1-115868, -1221698.14203440, -533391.33634505, -1114228.92264639, 6.34, 5.73, 3.01
03-1-116017, -1185557.55538252, -569831.44908136, -1135034.87281813, 4.77, 4.60, 2.21
03-1-116212, -1146313.82562893, -650350.32373564, -1132063.52718781, 5.56, 5.43, 0.70
03-1-116253, -1138560.67917543, -680793.90216540, -1121943.85002548, 4.55, 3.88, 1.78
03-1-116393, -1090658.61683961, -750065.45825091, -1125355.21052348, 6.14, 5.66, 0.40
03-1-116479, -1045167.96308040, -805788.92194728, -1129994.20450612, 5.04, 3.97, 0.43
03-1-116516, -1029616.64109970, -822550.20906290, -1132192.33610776, 9.05, 7.68, 2.95
03-1-116766, -940807.73728720, -907417.47352625, -1144566.76965557, 5.88, 5.53, 2.53
03-1-116891, -856775.28811681, -1012314.61370684, -1122369.80917518, 6.50, 6.06, 1.79
03-1-117019, -740003.05354283, -1080221.34933504, -1141961.50424962, 5.21, 5.10, 1.49
03-1-117025, -759586.23308671, -1071334.47139477, -1137466.46759649, 9.23, 8.83, 0.84
03-1-117030, -766164.02938346, -1066073.00791348, -1137998.14669322, 5.22, 4.75, 2.35
03-1-117103, -694962.22477102, -1114811.35059585, -1137005.68104297, 4.36, 3.96, 1.49
03-1-117195, -614380.95757013, -1165918.31525077, -1132134.83346200, 12.45, 9.66, 2.01
03-1-117463, -381128.42226228, -1255150.14092835, -1139253.26836109, 4.50, 4.12, 1.71
03-1-117467, -380759.52159002, -1258278.54798392, -1135920.79054925, 22.66, 14.55, 1.27
03-1-117596, -257685.24381678, -1296180.57702492, -1127862.13114123, 7.41, 7.29, 2.13
03-1-117598, -249212.03860419, -1293410.31093520, -1132935.07641932, 4.43, 4.16, 3.06
03-1-117666, -145222.83905421, -1326234.16739604, -1112911.50602749, 6.17, 5.74, 1.81
03-1-117945, -55490.69713991, -1308142.36282525, -1142034.63218630, 13.43, 9.07, 1.95
03-1-118049, -169282.75023056, -1284271.24222919, -1157821.00812581, 4.81, 4.55, 2.53
03-1-118218, -289852.69295817, -1274350.01356663, -1144804.00912454, 5.34, 5.10, 1.62
03-1-118364, -420131.29926453, -1229132.82090887, -1153811.49237772, 12.66, 11.19, 1.56
03-1-118386, -459828.44354138, -1218637.11428398, -1149800.04618192, 4.82, 4.45, 3.13
03-1-118523, -630977.71476240, -1145517.34839829, -1143772.65572831, 5.29, 4.83, 0.59
03-1-118667, -787200.55759610, -1034321.78321465, -1152845.38897809, 4.56, 4.19, 1.10
03-1-118674, -793283.34493477, -1036333.95101825, -1146853.18878051, 4.57, 4.48, 1.16
03-1-118817, -863746.78350408, -962458.73962925, -1160247.14112883, 5.85, 5.21, 2.87
03-1-118874, -880089.69120341, -949246.60187381, -1158849.33631103, 7.05, 5.81, 1.53
03-1-118987, -958888.57564105, -875217.38146316, -1154593.43263759, 4.99, 4.68, 2.77
03-1-119169, -1038051.96958832, -773711.90932863, -1158609.83501646, 4.75, 4.27, 3.07
03-1-119949, -1289002.55167465, -118851.07862963, -1158838.03997143, 5.21, 5.06, 0.38
03-1-120078, -1280460.23733431, -161282.96495162, -1163171.58915707, 6.04, 5.27, 2.12
03-1-120148, -1264219.18967091, -128882.86120748, -1184777.53547019, 4.73, 4.10, 1.27
03-1-121083, -1008367.71520798, -773272.52160592, -1184821.89305205, 4.85, 4.80, 0.83
03-1-121113, -1021450.24837361, -779546.18518159, -1169404.07698379, 9.50, 8.72, 0.11
03-1-121230, -984006.00765405, -825415.71649461, -1170034.11568399, 4.73, 4.61, 1.50
03-1-121252, -969487.12808604, -838050.23520638, -1173168.90162755, 4.25, 4.00, 0.15
03-1-121403, -921662.81804609, -903441.67743015, -1163137.80151517, 5.42, 5.02, 0.06
03-1-121507, -874767.03333719, -933358.70802201, -1175662.75757376, 8.73, 7.96, 1.50
03-1-121545, -838872.37312491, -966408.09442339, -1175120.12009017, 6.51, 6.07, 1.53
03-1-121735, -764194.33819770, -1029664.19228571, -1172329.91286207, 6.57, 5.45, 0.94
03-1-121739, -752135.44686208, -1035719.73104210, -1174791.75529268, 4.52, 4.06, 0.43
03-1-121765, -751559.60586377, -1022899.89693814, -1186335.83764372, 6.93, 6.35, 2.56
03-1-121852, -713588.71937075, -1043927.92405311, -1191454.73643315, 10.72, 10.40, 2.12
03-1-121937, -636534.61685749, -1123195.02318985, -1162675.95718826, 9.61, 8.05, 1.17
03-1-121979, -612796.12661993, -1084040.35197586, -1211567.65493622, 9.65, 8.70, 0.62
03-1-122016, -583828.47374376, -1125117.47009119, -1188197.69051351, 5.89, 5.41, 2.72
03-1-122121, -499482.67299993, -1187468.05215558, -1165759.59978148, 5.81, 5.36, 1.27
03-1-122835, -110132.17871368, -1247033.87139494, -1204714.15149218, 5.07, 3.13, 2.05
03-1-123014, -206900.11930709, -1233212.81113005, -1206207.80261754, 7.50, 7.23, 3.00
03-1-123020, -201860.82960323, -1244812.09859722, -1195095.73033204, 4.66, 3.83, 1.67
03-1-123095, -300440.89862111, -1227151.21521270, -1192641.57291188, 4.46, 4.20, 2.02
03-1-123112, -311602.76793938, -1199178.25971759, -1217963.04395215, 4.41, 4.06, 1.13
03-1-123183, -380800.93817781, -1197101.17530061, -1200207.55770692, 7.46, 5.00, 1.81
03-1-123280, -429055.87689042, -1179974.61512237, -1200887.05637650, 4.62, 3.57, 1.98
03-1-123398, -530647.70461640, -1138600.20950488, -1200233.86741951, 5.23, 2.77, 1.20
03-1-123399, -524773.62424219, -1143567.34102171, -1198092.29187415, 6.42, 4.71, 1.38
03-1-123457, -557472.10671790, -1111549.58670450, -1213359.43830695, 5.08, 4.16, 1.63
03-1-123467, -576822.09007706, -1105755.03523835, -1209603.58731452, 10.21, 7.38, 1.76
03-1-123481, -643105.02055703, -1072977.13959666, -1205692.64343667, 5.50, 4.29, 0.20
03-1-123522, -686804.97768930, -1068741.60234994, -1185178.91899396, 4.46, 3.98, 1.83
03-1-123533, -697092.04402119, -1051794.64498166, -1194298.73438359, 4.10, 4.07, 1.83
03-1-123539, -694302.67030539, -1043823.37587593, -1202886.24648459, 6.20, 5.92, 2.63
03-1-123560, -691349.53562251, -1033701.01601906, -1213283.47432729, 4.61, 4.35, 1.74
03-1-123567, -707761.66420911, -1016895.79368421, -1218012.77967980, 5.95, 5.55, 2.37
03-1-123595, -751716.67662322, -1000537.80755460, -1205157.62194842, 6.15, 5.69, 0.47
03-1-123619, -786561.66343266, -980175.69456706, -1199639.57812255, 9.44, 7.73, 2.05
03-1-123626, -788049.66407862, -972882.50842737, -1204589.60303567, 6.45, 5.96, 2.29
03-1-123706, -798940.50350779, -953863.22631857, -1212599.59480937, 4.60, 4.42, 1.54
03-1-123783, -871029.56228606, -917296.32390096, -1190980.14919710, 4.26, 3.90, 1.53
03-1-123893, -941605.36598607, -847646.75029316, -1188878.91791540, 4.31, 4.12, 0.05
03-1-123966, -966506.84748812, -807036.61253374, -1197127.88781677, 5.12, 4.38, 0.76
03-1-124002, -973476.63885933, -767124.10450222, -1217547.78217810, 6.55, 6.42, 1.18
03-1-124017, -980975.04757814, -786612.21525204, -1198952.85096844, 4.57, 4.00, 2.15
03-1-124117, -1007542.98387482, -743367.75955439, -1204500.00817754, 6.90, 6.59, 0.52
03-1-124229, -1046117.25609815, -669328.64590403, -1214988.31692570, 6.82, 6.55, 0.48
03-1-124243, -1067869.68721377, -663010.69949807, -1199428.99059555, 4.54, 3.96, 0.51
03-1-124297, -1097636.82122801, -608705.53461896, -1201344.97160837, 5.88, 5.27, 0.13
03-1-124353, -1110187.95830766, -570093.79910288, -1208732.60792167, 5.81, 5.41, 2.26
03-1-124852, -1231024.16913296, -311062.67818166, -1185908.20270920, 5.63, 5.14, 2.80
03-1-125272, -1250982.34401492, -127643.71404936, -1198878.23286046, 5.13, 4.75, 3.06
03-1-125318, -1242898.47473062, -11193.72068488, -1213934.44721267, 7.55, 5.85, 2.57
03-1-125361, -1228318.48607119, -65340.85288236, -1226997.56712081, 4.27, 3.83, 1.86
03-1-125382, -1233899.55032586, -110860.68317305, -1218097.10968873, 4.57, 4.30, 2.33
03-1-125771, -1210638.90578500, -286472.96064304, -1212784.16984232, 8.13, 6.87, 0.96
03-1-125785, -1203505.34024911, -294206.48203530, -1218021.42917121, 11.80, 7.76, 0.79
03-1-125947, -1151847.06568663, -398952.86704654, -1237999.88172230, 10.64, 7.40, 1.51
03-1-125958, -1149653.88852335, -414966.48621728, -1234770.22636587, 6.40, 4.28, 1.49
03-1-126111, -1120455.10859396, -523238.84790033, -1220393.46838371, 4.73, 4.58, 0.29
03-1-126217, -1102060.43061188, -570887.87770379, -1215774.89625770, 4.23, 3.84, 0.15
03-1-126243, -1092261.53802065, -581034.77331395, -1219804.11737327, 10.19, 9.07, 2.61
03-1-126247, -1082898.61261633, -580693.81053547, -1228285.00487445, 6.77, 5.17, 2.41
03-1-126284, -1081476.92731455, -602436.88844629, -1219030.84912788, 6.61, 6.53, 0.37
03-1-126301, -1076955.43618630, -605496.64000443, -1221515.27514482, 6.41, 5.74, 0.19
03-1-126369, -1042005.98625173, -656465.60749348, -1225493.85587761, 4.58, 3.79, 2.21
03-1-126389, -1035946.94845588, -651361.02018937, -1233329.43748328, 6.88, 5.44, 0.10
03-1-126394, -1034874.52199715, -640199.97456127, -1240055.43275005, 4.87, 4.18, 1.37
03-1-126453, -1013259.89571729, -708833.53399940, -1220417.20932184, 9.01, 8.04, 2.48
03-1-126467, -995656.39242870, -698358.06670111, -1240775.20884701, 7.55, 4.48, 0.23
03-1-126491, -1004320.82694073, -683099.61378935, -1242285.53650678, 4.61, 4.55, 0.61
03-1-126596, -961929.31816551, -760995.35471049, -1230502.66840942, 5.94, 5.61, 0.05
03-1-126663, -952737.86944254, -788145.30311271, -1220522.95894485, 5.40, 5.00, 1.91
03-1-126684, -947258.37928350, -809149.46341075, -1211006.79962554, 6.33, 5.93, 0.49
03-1-126716, -921954.68786089, -790266.56423954, -1242592.88223311, 4.35, 4.21, 0.47
03-1-126772, -883172.87563272, -859418.10925737, -1224730.56025688, 4.57, 4.35, 0.96
03-1-126854, -831722.69864501, -903256.88409553, -1229196.12507228, 5.59, 4.53, 2.40
03-1-126861, -849592.71046873, -869485.97400691, -1241267.54864681, 4.32, 4.06, 1.24
03-1-126957, -761050.47959538, -967053.18637531, -1226445.70292737, 4.33, 3.95, 1.62
03-1-126985, -748785.97534650, -984026.11167341, -1220479.79691157, 13.75, 12.79, 1.92
03-1-126995, -719024.79318523, -989761.70310447, -1233666.84232522, 5.77, 5.41, 1.06
03-1-127089, -667179.23800984, -1029173.92946306, -1230541.20096898, 4.67, 4.37, 0.93
03-1-127092, -673657.81163804, -1024649.40620674, -1230787.35254276, 6.04, 5.71, 2.86
03-1-127144, -639215.49231312, -1061859.20914435, -1217545.61899841, 8.63, 5.43, 2.80
03-1-127238, -580525.27536707, -1069996.03795126, -1239619.95927324, 4.95, 4.71, 0.94
03-1-127256, -550358.15498354, -1084439.88281632, -1240828.27248594, 4.48, 3.76, 0.39
03-1-127521, -390904.64418981, -1162220.61662450, -1230851.55784270, 7.72, 7.27, 0.63
03-1-127660, -270457.95473041, -1206496.94181668, -1220563.96149897, 7.37, 7.15, 0.94
03-1-127810, -132241.11659362, -1229692.15579797, -1220216.47630698, 5.16, 4.97, 1.90
03-1-127835, -116646.88070342, -1233765.26823638, -1217692.70676791, 6.73, 2.69, 1.46
03-1-128099, -30334.97391721, -1196758.87330465, -1259129.36131441, 8.43, 8.20, 1.27
03-1-128449, -340100.00071841, -1153627.63966047, -1253807.80764946, 4.64, 4.40, 2.39
03-1-128487, -406917.41052805, -1135477.03608023, -1250467.46520795, 4.92, 4.15, 0.18
03-1-128615, -578113.33091654, -1065506.09258184, -1244604.55699293, 8.95, 7.76, 0.17
03-1-128619, -597121.36523071, -1050910.14780608, -1248035.53492007, 6.28, 5.40, 2.08
03-1-128678, -702961.70769764, -976942.81475795, -1252990.95535588, 5.43, 4.85, 1.92
03-1-128730, -760390.39953600, -932297.52070771, -1253469.79747250, 4.77, 4.11, 1.76
03-1-128791, -812264.43685661, -896997.67494330, -1246667.72468221, 10.45, 9.50, 2.73
03-1-128982, -912668.46421667, -777538.62452048, -1257389.64597423, 4.23, 4.15, 1.67
03-1-129039, -933603.38138093, -773854.61802658, -1244223.66013231, 8.82, 8.32, 0.04
03-1-129146, -957678.30147565, -721976.88372491, -1257044.31514947, 8.43, 8.25, 0.32
03-1-129258, -1012214.16554834, -669411.15060869, -1243330.18724072, 5.47, 4.53, 1.88
03-1-129465, -1103220.69988449, -482742.15454874, -1252366.90293540, 4.25, 3.84, 0.41
03-1-129472, -1107412.52546939, -518726.36429925, -1234147.16197639, 5.25, 5.03, 2.95
03-1-129492, -1102671.81232884, -493895.77236047, -1248495.33452868, 7.69, 7.46, 2.73
03-1-129545, -1129688.70491834, -419633.77113258, -1251506.96686233, 4.45, 4.06, 1.24
03-1-129976, -1211363.51966840, -88701.90458661, -1242291.89618998, 10.52, 7.82, 1.20
03-1-130169, -1175775.55689756, -82156.37198670, -1276464.22995093, 5.99, 5.38, 1.65
03-1-130322, -1173594.33857839, -163079.33031697, -1270684.94147059, 4.65, 4.39, 2.77
03-1-130345, -1161751.92841215, -200335.31659269, -1276227.63555580, 6.66, 6.64, 1.18
03-1-130390, -1161871.16217213, -239068.54234207, -1269433.09968474, 7.17, 6.68, 2.93
03-1-130418, -1164385.50988362, -230280.00321747, -1268753.82343906, 4.94, 3.96, 1.31
03-1-130421, -1158632.91306207, -243929.94014394, -1271466.36489947, 6.78, 5.03, 0.13
03-1-130595, -1117265.67022085, -431363.39773099, -1258650.78605781, 5.09, 4.54, 1.25
03-1-130723, -1080670.01103370, -468767.75951110, -1277093.52629138, 4.69, 3.79, 2.28
03-1-130835, -1077590.77924171, -519304.50480163, -1260031.62808954, 5.49, 5.12, 0.09
03-1-130881, -1058879.38271876, -520069.46235571, -1275484.60091770, 7.15, 6.34, 0.93
03-1-131163, -979686.61637303, -643754.13606286, -1282323.47947058, 5.97, 5.31, 1.58
03-1-131225, -932495.21093618, -743575.45625431, -1263371.27656017, 4.43, 4.20, 1.04
03-1-131361, -882907.94828939, -791743.06199736, -1269714.62881486, 5.44, 5.22, 2.28
03-1-131363, -878796.95102831, -788831.69949421, -1274370.13019625, 4.26, 4.06, 1.94
03-1-131533, -839453.97489574, -840685.58173690, -1267723.76198107, 6.75, 6.68, 0.39
03-1-131747, -608360.98073687, -1013524.20353429, -1273273.09166850, 4.46, 3.71, 0.10
03-1-131791, -566506.83981127, -1029748.26868605, -1279549.63310734, 10.78, 9.94, 0.82
03-1-131898, -482086.11694144, -1074545.59863019, -1277303.21079875, 6.93, 3.54, 1.23
03-1-131912, -460776.71800508, -1098720.20844043, -1264538.44532663, 5.57, 5.50, 0.71
03-1-131951, -436840.78336526, -1102490.50875403, -1269741.53594190, 6.02, 5.84, 1.45
03-1-132381, -10777.69881819, -1176189.28148483, -1278679.54364195, 7.40, 6.44, 0.73
03-1-132435, -55563.58082121, -1170839.90236061, -1282421.68241438, 5.02, 4.87, 2.73
03-1-132489, -147206.87367102, -1162814.08875848, -1282478.96330848, 4.56, 4.38, 2.63
03-1-132558, -199432.44347862, -1145647.59693500, -1290843.53975422, 5.41, 4.26, 1.70
03-1-132616, -253830.88776235, -1134643.86467374, -1291011.98320388, 9.66, 4.61, 1.25
03-1-132705, -266172.36165490, -1135723.23075458, -1287572.82396587, 5.62, 4.62, 1.79
03-1-132830, -403284.27006318, -1080529.57705145, -1299375.38480480, 7.14, 6.61, 2.21
03-1-132855, -418319.93872278, -1076653.51902437, -1297838.35235341, 5.62, 4.95, 1.86
03-1-132861, -443564.22425050, -1077768.86263947, -1288496.72785378, 5.00, 3.68, 1.37
