selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
04-1-084409, 298700.93187875, -1290629.60683959, 1124104.85776188, 4.76, 3.86, 2.33
04-1-084524, 178880.89800515, -1312163.78624449, 1124627.30822144, 5.06, 4.76, 1.31
04-1-084620, 89320.23598335, -1330036.38710649, 1114263.82173011, 5.62, 5.43, 2.25
04-1-084627, 78926.21829104, -1332013.55912757, 1112685.62063441, 4.65, 4.38, 1.64
04-1-084717, 35194.20459149, -1325447.52363619, 1122723.91532819, 4.59, 4.31, 1.38
04-1-084781, 19174.36214344, -1295436.09324694, 1157599.42646387, 7.54, 7.28, 0.47
04-1-084857, 64694.36070787, -1303652.05492472, 1146675.50744888, 5.13, 4.54, 1.10
04-1-085041, 157137.55544573, -1299465.58643110, 1142477.89403114, 5.01, 4.80, 0.42
04-1-085047, 195783.89126365, -1285304.08374869, 1152484.63773736, 5.05, 4.62, 0.90
04-1-085051, 207132.47222555, -1282561.92727304, 1153555.28764746, 5.27, 5.09, 0.44
04-1-085209, 327483.78341738, -1251051.24916950, 1160251.65526711, 5.12, 4.86, 0.89
04-1-085216, 331387.97809646, -1243613.06763019, 1167119.23383713, 5.45, 5.12, 0.41
04-1-085225, 391221.89849171, -1246408.22668674, 1145412.90310008, 5.38, 4.66, 1.01
04-1-085255, 568237.64824718, -1187279.48521632, 1134033.57935247, 5.68, 5.32, 0.89
04-1-085347, 686888.97528292, -1103404.50369084, 1152927.05617899, 4.43, 3.93, 1.93
04-1-085419, 829456.67751589, -1018102.28621537, 1137553.56573980, 6.03, 5.68, 1.05
04-1-085472, 894462.21769680, -940033.18028830, 1155350.04265806, 6.86, 4.93, 1.50
04-1-085516, 908860.58345561, -932157.40027345, 1150484.15067578, 5.75, 4.93, 1.55
04-1-085538, 924564.76657981, -919768.49227492, 1147939.31591245, 7.20, 6.11, 2.16
04-1-085577, 990644.97357679, -864286.03860647, 1135865.72260852, 6.40, 5.86, 2.02
04-1-085700, 1060836.86694746, -774596.99537115, 1137182.21780288, 4.65, 4.51, 0.55
04-1-085897, 1308280.35250240, -109376.49449991, 1137979.81603679, 7.43, 3.52, 2.46
04-1-085931, 1290939.33224194, -73056.20866023, 1160472.83072329, 13.17, 12.57, 1.83
04-1-086094, 1226668.74859613, -375194.15256303, 1171781.50228621, 6.61, 6.25, 1.37
04-1-086370, 908050.06143041, -904128.12428650, 1173267.31004081, 4.49, 4.17, 1.30
04-1-086409, 880968.96397568, -910614.71353706, 1188794.88895328, 5.73, 5.35, 0.68
04-1-086606, 484495.48888409, -1178041.12710088, 1181542.20580979, 6.35, 6.29, 2.55
04-1-086774, 199685.59024683, -1274001.68579002, 1164304.13966969, 5.96, 5.18, 1.28
04-1-086939, 84468.54244536, -1271734.95399805, 1180726.06142015, 6.35, 5.90, 2.07
04-1-086949, 76733.54199436, -1267653.03119339, 1185633.38180029, 6.33, 5.97, 0.51
04-1-087050, 56044.63922893, -1242814.59429907, 1212777.65588377, 4.90, 4.21, 1.66
04-1-087077, 113667.15324870, -1266624.28930719, 1183765.79102853, 5.69, 5.67, 1.70
04-1-087078, 121409.18840936, -1264352.05064156, 1185425.01281535, 5.49, 5.03, 1.12
04-1-087116, 130853.25688622, -1264729.58669234, 1184016.57830762, 5.08, 4.86, 1.99
04-1-087310, 275413.75625362, -1220319.52612261, 1205622.77559366, 5.91, 5.85, 1.76
04-1-087319, 296117.74937356, -1230958.11996450, 1189796.26213877, 4.63, 3.75, 0.03
04-1-087669, 855216.46546511, -902155.67609727, 1213786.92252094, 6.02, 5.29, 1.69
04-1-087696, 895382.63553171, -878355.44922258, 1202223.10775051, 4.98, 4.53, 1.73
04-1-087967, 1068359.26289735, -687613.62172041, 1185054.74667037, 4.13, 4.02, 1.73
